cause_global,cause_dane
Tuberculosis,"102 TUBERCULOSIS, INCLUSIVE SECUELAS"
HIV/AIDS,108 ENFERMEDAD POR EL VIH/SIDA
Diarrheal diseases,101 ENFERMEDADES INFECCIOSAS INTESTINALES
Lower respiratory infections,109 INFECCIONES RESPIRATORIAS AGUDAS
Meningitis,105 MENINGITIS
Hepatitis,107 HEPATITIS VIRICA
Stomach cancer,201 TUMOR MALIGNO DEL ESTOMAGO
Colon and rectum cancer,"202 TUMOR MALIGNO DE LOS ORGANOS DIGESTIVOS Y DEL PERITONEO, EXCEPTO ESTOMAGO Y COLON"
Breast cancer,208 TUMOR MALIGNO DE LA MAMA
Cervical cancer,209 TUMOR MALIGNO DEL CUELLO DEL UTERO
Prostate cancer,210 TUMOR MALIGNO DE LA PROSTATA
Cardiovascular diseases,303 ENFERMEDADES ISQUEMICAS DEL CORAZON
Diabetes mellitus,601 DIABETES MELLITUS
Chronic kidney disease,612 ENFERMEDADES SISTEMA URINARIO
Road injuries,"501 ACC. TRANSPORTE TERRESTRE, INCLUSIVE SECUELAS"
Interpersonal violence,"512 AGRESIONES (HOMICIDIOS), INCLUSIVE SECUELAS"
Self-harm,"511 LESIONES AUTOINFLIGIDAS INTENC.(SUICIDIOS), INCL. SECUELAS"
Drowning,506 AHOGAMIENTO Y SUMERSION ACCIDENTALES
Falls,503 CAIDAS
