cause,who_category
Tuberculosis,Transmisibles (Infecciosas/Maternas)
HIV/AIDS,Transmisibles (Infecciosas/Maternas)
Diarrheal diseases,Transmisibles (Infecciosas/Maternas)
Other intestinal infectious diseases,Transmisibles (Infecciosas/Maternas)
Lower respiratory infections,Transmisibles (Infecciosas/Maternas)
Upper respiratory infections,No Transmisibles (Crónicas)
Otitis media,No Transmisibles (Crónicas)
Meningitis,No Transmisibles (Crónicas)
Encephalitis,No Transmisibles (Crónicas)
Diphtheria,No Transmisibles (Crónicas)
Whooping cough,No Transmisibles (Crónicas)
Tetanus,No Transmisibles (Crónicas)
Measles,No Transmisibles (Crónicas)
Varicella and herpes zoster,No Transmisibles (Crónicas)
Malaria,Transmisibles (Infecciosas/Maternas)
Chagas disease,No Transmisibles (Crónicas)
Leishmaniasis,No Transmisibles (Crónicas)
African trypanosomiasis,No Transmisibles (Crónicas)
Schistosomiasis,No Transmisibles (Crónicas)
Cysticercosis,No Transmisibles (Crónicas)
Cystic echinococcosis,No Transmisibles (Crónicas)
Lymphatic filariasis,No Transmisibles (Crónicas)
Onchocerciasis,No Transmisibles (Crónicas)
Trachoma,No Transmisibles (Crónicas)
Dengue,No Transmisibles (Crónicas)
Yellow fever,No Transmisibles (Crónicas)
Rabies,No Transmisibles (Crónicas)
Intestinal nematode infections,No Transmisibles (Crónicas)
Food-borne trematodiases,No Transmisibles (Crónicas)
Other neglected tropical diseases,No Transmisibles (Crónicas)
Maternal disorders,No Transmisibles (Crónicas)
Neonatal disorders,No Transmisibles (Crónicas)
Protein-energy malnutrition,No Transmisibles (Crónicas)
Iodine deficiency,No Transmisibles (Crónicas)
Vitamin A deficiency,No Transmisibles (Crónicas)
Dietary iron deficiency,No Transmisibles (Crónicas)
Other nutritional deficiencies,No Transmisibles (Crónicas)
Sexually transmitted infections excluding HIV,No Transmisibles (Crónicas)
Acute hepatitis,No Transmisibles (Crónicas)
Leprosy,No Transmisibles (Crónicas)
Other unspecified infectious diseases,No Transmisibles (Crónicas)
Esophageal cancer,No Transmisibles (Crónicas)
Stomach cancer,No Transmisibles (Crónicas)
Liver cancer,No Transmisibles (Crónicas)
Larynx cancer,No Transmisibles (Crónicas)
"Tracheal, bronchus, and lung cancer",No Transmisibles (Crónicas)
Breast cancer,No Transmisibles (Crónicas)
Cervical cancer,No Transmisibles (Crónicas)
Uterine cancer,No Transmisibles (Crónicas)
Prostate cancer,No Transmisibles (Crónicas)
Colon and rectum cancer,No Transmisibles (Crónicas)
Lip and oral cavity cancer,No Transmisibles (Crónicas)
Nasopharynx cancer,No Transmisibles (Crónicas)
Other pharynx cancer,No Transmisibles (Crónicas)
Gallbladder and biliary tract cancer,No Transmisibles (Crónicas)
Pancreatic cancer,No Transmisibles (Crónicas)
Malignant skin melanoma,No Transmisibles (Crónicas)
Non-melanoma skin cancer,No Transmisibles (Crónicas)
Ovarian cancer,No Transmisibles (Crónicas)
Testicular cancer,No Transmisibles (Crónicas)
Kidney cancer,No Transmisibles (Crónicas)
Bladder cancer,No Transmisibles (Crónicas)
Brain and nervous system cancer,No Transmisibles (Crónicas)
Thyroid cancer,No Transmisibles (Crónicas)
Mesothelioma,No Transmisibles (Crónicas)
Hodgkin lymphoma,No Transmisibles (Crónicas)
Non-Hodgkin lymphoma,No Transmisibles (Crónicas)
Multiple myeloma,No Transmisibles (Crónicas)
Leukemia,No Transmisibles (Crónicas)
Other malignant neoplasms,No Transmisibles (Crónicas)
Other neoplasms,No Transmisibles (Crónicas)
Rheumatic heart disease,No Transmisibles (Crónicas)
Ischemic heart disease,No Transmisibles (Crónicas)
Stroke,No Transmisibles (Crónicas)
Hypertensive heart disease,No Transmisibles (Crónicas)
Cardiomyopathy and myocarditis,No Transmisibles (Crónicas)
Atrial fibrillation and flutter,No Transmisibles (Crónicas)
Aortic aneurysm,No Transmisibles (Crónicas)
Peripheral artery disease,No Transmisibles (Crónicas)
Endocarditis,No Transmisibles (Crónicas)
Non-rheumatic valvular heart disease,No Transmisibles (Crónicas)
Other cardiovascular and circulatory diseases,No Transmisibles (Crónicas)
Chronic obstructive pulmonary disease,No Transmisibles (Crónicas)
Pneumoconiosis,No Transmisibles (Crónicas)
Asthma,No Transmisibles (Crónicas)
Interstitial lung disease and pulmonary sarcoidosis,No Transmisibles (Crónicas)
Other chronic respiratory diseases,No Transmisibles (Crónicas)
Cirrhosis and other chronic liver diseases,No Transmisibles (Crónicas)
Appendicitis,No Transmisibles (Crónicas)
Paralytic ileus and intestinal obstruction,No Transmisibles (Crónicas)
"Inguinal, femoral, and abdominal hernia",No Transmisibles (Crónicas)
Inflammatory bowel disease,No Transmisibles (Crónicas)
Vascular intestinal disorders,No Transmisibles (Crónicas)
Gallbladder and biliary diseases,No Transmisibles (Crónicas)
Pancreatitis,No Transmisibles (Crónicas)
Other digestive diseases,No Transmisibles (Crónicas)
Alzheimer's disease and other dementias,No Transmisibles (Crónicas)
Parkinson's disease,No Transmisibles (Crónicas)
Epilepsy,No Transmisibles (Crónicas)
Multiple sclerosis,No Transmisibles (Crónicas)
Motor neuron disease,No Transmisibles (Crónicas)
Other neurological disorders,No Transmisibles (Crónicas)
Schizophrenia,No Transmisibles (Crónicas)
Alcohol use disorders,No Transmisibles (Crónicas)
Drug use disorders,No Transmisibles (Crónicas)
Depressive disorders,No Transmisibles (Crónicas)
Bipolar disorder,No Transmisibles (Crónicas)
Anxiety disorders,No Transmisibles (Crónicas)
Eating disorders,No Transmisibles (Crónicas)
Autism spectrum disorders,No Transmisibles (Crónicas)
Attention-deficit/hyperactivity disorder,No Transmisibles (Crónicas)
Conduct disorder,No Transmisibles (Crónicas)
Idiopathic developmental intellectual disability,No Transmisibles (Crónicas)
Other mental disorders,No Transmisibles (Crónicas)
Diabetes mellitus,No Transmisibles (Crónicas)
Acute glomerulonephritis,No Transmisibles (Crónicas)
Chronic kidney disease,No Transmisibles (Crónicas)
Urinary diseases and male infertility,No Transmisibles (Crónicas)
Gynecological diseases,No Transmisibles (Crónicas)
Hemoglobinopathies and hemolytic anemias,No Transmisibles (Crónicas)
"Endocrine, metabolic, blood, and immune disorders",No Transmisibles (Crónicas)
Rheumatoid arthritis,No Transmisibles (Crónicas)
Osteoarthritis,No Transmisibles (Crónicas)
Low back pain,No Transmisibles (Crónicas)
Neck pain,No Transmisibles (Crónicas)
Gout,No Transmisibles (Crónicas)
Other musculoskeletal disorders,No Transmisibles (Crónicas)
Congenital birth defects,No Transmisibles (Crónicas)
Dermatitis,No Transmisibles (Crónicas)
Psoriasis,No Transmisibles (Crónicas)
Scabies,No Transmisibles (Crónicas)
Fungal skin diseases,No Transmisibles (Crónicas)
Viral skin diseases,No Transmisibles (Crónicas)
Acne vulgaris,No Transmisibles (Crónicas)
Alopecia areata,No Transmisibles (Crónicas)
Pruritus,No Transmisibles (Crónicas)
Urticaria,No Transmisibles (Crónicas)
Decubitus ulcer,No Transmisibles (Crónicas)
Other skin and subcutaneous diseases,No Transmisibles (Crónicas)
Age-related and other hearing loss,No Transmisibles (Crónicas)
Other sense organ diseases,No Transmisibles (Crónicas)
Oral disorders,No Transmisibles (Crónicas)
Sudden infant death syndrome,No Transmisibles (Crónicas)
