cause,annual_change_global,pct_deaths_global,who_category,pct_deaths_colombia
Acne vulgaris,0.0,0.0,No Transmisibles (Crónicas),
Acute glomerulonephritis,-0.00964242,0.00019988,No Transmisibles (Crónicas),
Acute hepatitis,-0.02662695,0.00225918,No Transmisibles (Crónicas),
Adverse effects of medical treatment,-0.000545556,0.002173023,No Transmisibles (Crónicas),
African trypanosomiasis,-0.181241213,2.439333731e-05,No Transmisibles (Crónicas),
Age-related and other hearing loss,0.0,0.0,No Transmisibles (Crónicas),
Alcohol use disorders,-0.03098691,0.003305613,No Transmisibles (Crónicas),
Alopecia areata,0.0,0.0,No Transmisibles (Crónicas),
Alzheimer's disease and other dementias,0.024707331,0.044947927,No Transmisibles (Crónicas),
Animal contact,-0.015247583,0.001449132,No Transmisibles (Crónicas),
Anxiety disorders,0.0,0.0,No Transmisibles (Crónicas),
Aortic aneurysm,-0.000114974,0.002989507,No Transmisibles (Crónicas),
Appendicitis,-0.010037634,0.00078548,No Transmisibles (Crónicas),
Asthma,-0.016235636,0.008849055,No Transmisibles (Crónicas),
Atrial fibrillation and flutter,0.025084056,0.005134375,No Transmisibles (Crónicas),
Attention-deficit/hyperactivity disorder,0.0,0.0,No Transmisibles (Crónicas),
Autism spectrum disorders,0.0,0.0,No Transmisibles (Crónicas),
Bacterial skin diseases,0.015782883,0.001358617,No Transmisibles (Crónicas),
Bipolar disorder,0.0,0.0,No Transmisibles (Crónicas),
Bladder cancer,0.007628679,0.0035132,No Transmisibles (Crónicas),
Blindness and vision impairment,0.0,0.0,No Transmisibles (Crónicas),
Brain and nervous system cancer,0.00773168,0.004417517,No Transmisibles (Crónicas),
Breast cancer,0.006460104,0.010932407,No Transmisibles (Crónicas),0.014607422767370752
Cardiomyopathy and myocarditis,-0.010274713,0.006587431,No Transmisibles (Crónicas),
Cervical cancer,-0.003746792,0.004641428,No Transmisibles (Crónicas),
Chagas disease,-0.014737055,0.000140372,No Transmisibles (Crónicas),
Chronic kidney disease,0.017414779,0.021988669,No Transmisibles (Crónicas),0.02890292763504727
Chronic obstructive pulmonary disease,-0.00654463,0.057159165,No Transmisibles (Crónicas),
Cirrhosis and other chronic liver diseases,-0.001088756,0.023645461,No Transmisibles (Crónicas),
Colon and rectum cancer,0.009331637,0.016016364,No Transmisibles (Crónicas),
Conduct disorder,0.0,0.0,No Transmisibles (Crónicas),
Conflict and terrorism,0.032575746,0.00231874,Lesiones (Accidentes/Violencia),
Congenital birth defects,-0.025542925,0.010454063,No Transmisibles (Crónicas),
Cystic echinococcosis,-0.051199381,2.138606245e-05,No Transmisibles (Crónicas),
Cysticercosis,-0.036320894,1.339082388e-05,No Transmisibles (Crónicas),
Decubitus ulcer,0.006573373,0.000363475,No Transmisibles (Crónicas),
Dengue,0.036266847,0.000723339,No Transmisibles (Crónicas),
Depressive disorders,0.0,0.0,No Transmisibles (Crónicas),
Dermatitis,0.0,0.0,No Transmisibles (Crónicas),
Diabetes mellitus,0.00902093,0.024485445,No Transmisibles (Crónicas),0.0329490739113626
Diarrheal diseases,-0.019358474,0.02805331,Transmisibles (Infecciosas/Maternas),0.003044494429409904
Dietary iron deficiency,0.0,0.0,No Transmisibles (Crónicas),
Diphtheria,-0.135042873,6.477768907e-05,No Transmisibles (Crónicas),
Drowning,-0.03521056,0.005276737,Lesiones (Accidentes/Violencia),0.003562893192282009
Drug use disorders,0.010682146,0.00297813,No Transmisibles (Crónicas),
Eating disorders,0.005354904,5.83562832e-06,No Transmisibles (Crónicas),
Ebola,0.0,1.431924102e-07,No Transmisibles (Crónicas),
Encephalitis,-0.022998829,0.00165106,No Transmisibles (Crónicas),
Endocarditis,0.013131089,0.001490573,No Transmisibles (Crónicas),
"Endocrine, metabolic, blood, and immune disorders",0.014034337,0.002583442,No Transmisibles (Crónicas),
Environmental heat and cold exposure,0.088792252,0.000953613,No Transmisibles (Crónicas),
Epilepsy,-0.012179813,0.002327879,No Transmisibles (Crónicas),
Esophageal cancer,-0.016713527,0.007792472,No Transmisibles (Crónicas),
Executions and police conflict,-0.023241329,0.000285264,No Transmisibles (Crónicas),
Exposure to forces of nature,0.197107156,0.000171651,Lesiones (Accidentes/Violencia),
Exposure to mechanical forces,-0.018845633,0.00243978,No Transmisibles (Crónicas),
Falls,0.008766794,0.012436616,No Transmisibles (Crónicas),0.005513478367834675
"Fire, heat, and hot substances",-0.025456084,0.00215622,Lesiones (Accidentes/Violencia),
Food-borne trematodiases,0.0,0.0,No Transmisibles (Crónicas),
Foreign body,-0.018306921,0.002218385,No Transmisibles (Crónicas),
Fungal skin diseases,0.0,0.0,No Transmisibles (Crónicas),
Gallbladder and biliary diseases,0.007118269,0.001975796,No Transmisibles (Crónicas),
Gallbladder and biliary tract cancer,0.008886173,0.003109719,No Transmisibles (Crónicas),
Gout,0.0,0.0,No Transmisibles (Crónicas),
Guinea worm disease,0.0,0.0,Transmisibles (Infecciosas/Maternas),
Gynecological diseases,0.000903122,0.000145831,No Transmisibles (Crónicas),
HIV/AIDS,-0.045662897,0.017061125,Transmisibles (Infecciosas/Maternas),0.011048922784943592
Headache disorders,0.0,0.0,No Transmisibles (Crónicas),
Hemoglobinopathies and hemolytic anemias,-0.009907632,0.00186912,No Transmisibles (Crónicas),
Hodgkin lymphoma,-0.015509434,0.000581974,No Transmisibles (Crónicas),
Hypertensive heart disease,0.024205067,0.01654605,No Transmisibles (Crónicas),
Idiopathic developmental intellectual disability,0.0,0.0,No Transmisibles (Crónicas),
Inflammatory bowel disease,0.00325674,0.00069047,No Transmisibles (Crónicas),
"Inguinal, femoral, and abdominal hernia",0.004618889,0.000789295,No Transmisibles (Crónicas),
Interpersonal violence,-0.017668332,0.007245421,Lesiones (Accidentes/Violencia),0.05312708677468105
Interstitial lung disease and pulmonary sarcoidosis,0.032368454,0.002639021,No Transmisibles (Crónicas),
Intestinal nematode infections,-0.068560738,5.730082699e-05,No Transmisibles (Crónicas),
Invasive Non-typhoidal Salmonella (iNTS),-0.033155552,0.001055769,Transmisibles (Infecciosas/Maternas),
Iodine deficiency,0.0,0.0,No Transmisibles (Crónicas),
Ischemic heart disease,0.003884185,0.159626659,No Transmisibles (Crónicas),
Kidney cancer,0.01349205,0.002476116,No Transmisibles (Crónicas),
Larynx cancer,0.001771476,0.002260599,No Transmisibles (Crónicas),
Leishmaniasis,-0.106656618,0.000134563,No Transmisibles (Crónicas),
Leprosy,0.0,0.0,No Transmisibles (Crónicas),
Leukemia,-0.00180419,0.00621293,No Transmisibles (Crónicas),
Lip and oral cavity cancer,0.017430735,0.003462202,No Transmisibles (Crónicas),
Liver cancer,-0.000299092,0.014646817,No Transmisibles (Crónicas),
Low back pain,0.0,0.0,No Transmisibles (Crónicas),
Lower respiratory infections,-0.021149644,0.045733648,Transmisibles (Infecciosas/Maternas),0.041849717077285346
Lymphatic filariasis,0.0,0.0,No Transmisibles (Crónicas),
Malaria,-0.045183258,0.01107834,Transmisibles (Infecciosas/Maternas),
Malignant skin melanoma,0.009297249,0.001102255,No Transmisibles (Crónicas),
Maternal disorders,-0.031809767,0.003461065,No Transmisibles (Crónicas),
Measles,-0.135057925,0.001703471,No Transmisibles (Crónicas),
Meningitis,-0.037392192,0.005148122,No Transmisibles (Crónicas),0.0011861666608090535
Mesothelioma,0.016915739,0.000534608,No Transmisibles (Crónicas),
Motor neuron disease,0.017184043,0.00060896,No Transmisibles (Crónicas),
Multiple myeloma,0.012526407,0.001914622,No Transmisibles (Crónicas),
Multiple sclerosis,0.003018483,0.000369203,No Transmisibles (Crónicas),
Nasopharynx cancer,0.003331598,0.001243158,No Transmisibles (Crónicas),
Neck pain,0.0,0.0,No Transmisibles (Crónicas),
Neonatal disorders,-0.033578981,0.031883669,No Transmisibles (Crónicas),
Non-Hodgkin lymphoma,0.011960165,0.00444425,No Transmisibles (Crónicas),
Non-melanoma skin cancer,0.021832816,0.001163586,No Transmisibles (Crónicas),
Non-rheumatic valvular heart disease,0.022130854,0.002589317,No Transmisibles (Crónicas),
Onchocerciasis,0.0,0.0,No Transmisibles (Crónicas),
Oral disorders,0.0,0.0,No Transmisibles (Crónicas),
Osteoarthritis,0.0,0.0,No Transmisibles (Crónicas),
Other cardiovascular and circulatory diseases,0.003404575,0.006446419,No Transmisibles (Crónicas),
Other chronic respiratory diseases,0.009141886,0.00093208,No Transmisibles (Crónicas),
Other digestive diseases,0.004604541,0.00156006,No Transmisibles (Crónicas),
Other intestinal infectious diseases,-0.06630907,2.587234796e-05,Transmisibles (Infecciosas/Maternas),
Other malignant neoplasms,0.018969038,0.006426706,No Transmisibles (Crónicas),
Other mental disorders,0.0,0.0,No Transmisibles (Crónicas),
Other musculoskeletal disorders,0.012956326,0.001322623,No Transmisibles (Crónicas),
Other neglected tropical diseases,-0.006857005,0.000224517,No Transmisibles (Crónicas),
Other neoplasms,0.018390325,0.001839678,No Transmisibles (Crónicas),
Other neurological disorders,0.008422505,0.00096427,No Transmisibles (Crónicas),
Other nutritional deficiencies,-0.013273952,0.000683278,No Transmisibles (Crónicas),
Other pharynx cancer,0.022517283,0.002098673,No Transmisibles (Crónicas),
Other sense organ diseases,0.0,0.0,No Transmisibles (Crónicas),
Other skin and subcutaneous diseases,0.010922179,7.043379768e-05,No Transmisibles (Crónicas),
Other transport injuries,-0.009912403,0.001643303,No Transmisibles (Crónicas),
Other unintentional injuries,-0.015994059,0.001692386,No Transmisibles (Crónicas),
Other unspecified infectious diseases,-0.012119896,0.001416918,No Transmisibles (Crónicas),
Otitis media,-0.056684523,1.694403859e-05,No Transmisibles (Crónicas),
Ovarian cancer,0.007759061,0.00314559,No Transmisibles (Crónicas),
Pancreatic cancer,0.021849975,0.007884183,No Transmisibles (Crónicas),
Pancreatitis,0.005030375,0.00181638,No Transmisibles (Crónicas),
Paralytic ileus and intestinal obstruction,0.005153418,0.004298632,No Transmisibles (Crónicas),
Parkinson's disease,0.021429899,0.00608877,No Transmisibles (Crónicas),
Peripheral artery disease,0.032939982,0.001254251,No Transmisibles (Crónicas),
Pneumoconiosis,-0.015786505,0.000385221,No Transmisibles (Crónicas),
Poisonings,-0.022476461,0.001293577,Lesiones (Accidentes/Violencia),
Prostate cancer,0.011418227,0.007434264,No Transmisibles (Crónicas),
Protein-energy malnutrition,-0.034519061,0.004142785,No Transmisibles (Crónicas),
Pruritus,0.0,0.0,No Transmisibles (Crónicas),
Psoriasis,0.0,0.0,No Transmisibles (Crónicas),
Rabies,-0.08199937,0.000208385,No Transmisibles (Crónicas),
Rheumatic heart disease,-0.017482948,0.00510349,No Transmisibles (Crónicas),
Rheumatoid arthritis,0.006703645,0.000845003,No Transmisibles (Crónicas),
Road injuries,-0.010375795,0.022219143,Lesiones (Accidentes/Violencia),0.031464168980423854
Scabies,0.0,0.0,No Transmisibles (Crónicas),
Schistosomiasis,-0.030637965,0.00015795,No Transmisibles (Crónicas),
Schizophrenia,0.0,0.0,No Transmisibles (Crónicas),
Self-harm,-0.015167672,0.014189188,Lesiones (Accidentes/Violencia),0.011909991916493867
Sexually transmitted infections excluding HIV,-0.030372487,0.002128562,No Transmisibles (Crónicas),
Stomach cancer,-0.014427292,0.015461214,No Transmisibles (Crónicas),0.02284908445506625
