Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estadísticas vitales de nacimientos y defunciones ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUADRO 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Defunciones por grupos de edad y sexo, según departamento, municipio de residencia y grupos de causas de defunción (lista de causas agrupadas 6/67 CIE-10 de OPS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Año 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volver al índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUPOS DE CAUSAS DE DEFUNCIÓN (LISTA DE CAUSAS AGRUPADAS 6/67 CIE-10 DE OPS),TOTAL,Total,,,Menor 1 año,,,De 1-4 años,,,De 5-14 años,,,De 15-44 años,,,De 45-64 años,,,De 65-84 años,,,De 85-99 años,,,De 100 y más,,,Edad desconocida,,
,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado
TOTAL NACIONAL,227624,125450,102119,55,3986,3050,8,871,633,0,1144,824,1,22581,8134,13,25282,18014,11,49691,42579,7,21339,27880,3,541,1000,6,15,5,6
101 ENFERMEDADES INFECCIOSAS INTESTINALES,693,321,372,0,48,37,0,23,21,0,9,4,0,26,11,0,40,45,0,103,149,0,71,102,0,1,3,0,0,0,0
"102 TUBERCULOSIS, INCLUSIVE SECUELAS",1022,746,276,0,1,1,0,5,2,0,5,2,0,151,56,0,214,62,0,307,123,0,63,30,0,0,0,0,0,0,0
103 CIERTAS ENF. TRANSMITIDAS POR VECTORES Y RABIA,295,178,117,0,3,0,0,3,2,0,9,3,0,25,14,0,67,28,0,59,59,0,12,11,0,0,0,0,0,0,0
104 CIERTAS ENF. PREVENIBLES POR VACUNA,39,30,9,0,4,3,0,1,0,0,1,0,0,4,2,0,15,3,0,5,0,0,0,1,0,0,0,0,0,0,0
105 MENINGITIS,270,162,108,0,18,21,0,12,7,0,11,11,0,45,19,0,39,27,0,32,18,0,5,5,0,0,0,0,0,0,0
